﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},过量{0}
Carcass_DoeCarcass_SpoilageTime.OnFull.ActionDescription,Doe Spoiled!,母鹿变质了！
Carcass_FoxCarcass_SpoilageTime.CardStatName,Spoilage,变质
Carcass_FoxCarcass_SpoilageTime.OnFull.ActionDescription,Fox Spoiled!,狐狸变质了！
Carcass_PartridgeCarcass_SpoilageTime.CardStatName,Spoilage,变质
Carcass_PartridgeCarcass_SpoilageTime.OnFull.ActionDescription,Partridge Spoiled!,灰山鹑变质了！
Carcass_StagCarcass_SpoilageTime.CardStatName,Spoilage,变质
Carcass_StagCarcass_SpoilageTime.OnFull.ActionDescription,Stag Spoiled!,公鹿变质了！
Carcass_WolfCarcass_SpoilageTime.CardStatName,Spoilage,变质
Carcass_WolfCarcass_SpoilageTime.OnFull.ActionDescription,Wolf Spoiled!,狼变质了！
Fish_Perch_SpoilageTime.CardStatName,Spoilage,变质
Fish_Perch_SpoilageTime.OnFull.ActionDescription,Perch Spoiled!,鲈鱼变质了！
Fish_Pike_SpoilageTime.CardStatName,Spoilage,变质
Fish_Pike_SpoilageTime.OnFull.ActionDescription,Pike Spoiled!,狗鱼变质了！
Fish_Sturgeon_SpoilageTime.CardStatName,Spoilage,变质
Fish_Sturgeon_SpoilageTime.OnFull.ActionDescription,Sturgeon Spoiled!,鲟鱼变质了！
Fish_Trout_SpoilageTime.CardStatName,Spoilage,变质
Fish_Trout_SpoilageTime.OnFull.ActionDescription,Trout Spoiled!,鳟鱼变质了！
PartridgeChickDead_SpoilageTime.CardStatName,Spoilage,变质
PartridgeChickDead_SpoilageTime.OnFull.ActionDescription,Partridge Spoiled!,灰山鹑变质了！
AcornFlourRaw_SpoilageTime.CardStatName,Spoilage,变质
AcornFlourRaw_SpoilageTime.OnFull.ActionDescription,Flour Spoiled!,面粉变质了！
AcornsPoisonRaw_SpoilageTime.CardStatName,Spoilage,变质
AcornsPoisonRaw_SpoilageTime.OnFull.ActionDescription,Acorns Spoiled!,橡子变质了！
AcornsSpiritRaw_SpoilageTime.CardStatName,Spoilage,变质
AcornsSpiritRaw_SpoilageTime.OnFull.ActionDescription,Acorns Spoiled!,橡子变质了！
Fat_SpoilageTime.CardStatName,Spoilage,变质
Fat_SpoilageTime.OnFull.ActionDescription,Fat Spoiled!,脂肪变质了！
FatChunk_SpoilageTime.CardStatName,Spoilage,变质
FatChunk_SpoilageTime.OnFull.ActionDescription,Fat Spoiled!,脂肪变质了！
FirerootFresh_SpoilageTime.CardStatName,Spoilage,变质
FirerootFresh_SpoilageTime.OnFull.ActionDescription,Fireroot Spoiled!,火根变质了！
NettleLeavesRaw_SpoilageTime.CardStatName,Spoilage,变质
NettleLeavesRaw_SpoilageTime.OnFull.ActionDescription,Nettle Leaves Spoiled!,荨麻叶变质了！
PineCones_SpoilageTime.CardStatName,Spoilage,变质
PineCones_SpoilageTime.OnFull.ActionDescription,Pine Cones Spoiled!,松果变质了！
RyeFlourRaw_SpoilageTime.CardStatName,Spoilage,变质
RyeFlourRaw_SpoilageTime.OnFull.ActionDescription,Flour Spoiled!,面粉变质了！
SpiritMushroomsFresh_SpoilageTime.CardStatName,Spoilage,变质
SpiritMushroomsFresh_SpoilageTime.OnFull.ActionDescription,Spirit Mushrooms Spoiled!,灵魂菇变质了！
AcornDoughRaw_SpoilageTime.CardStatName,Spoilage,变质
AcornDoughRaw_SpoilageTime.OnFull.ActionDescription,Dough Spoiled!,面团变质了！
AcornsEdibleRaw_SpoilageTime.CardStatName,Spoilage,变质
AcornsEdibleRaw_SpoilageTime.OnFull.ActionDescription,Acorns Spoiled!,橡子变质了！
AppleweedFresh_SpoilageTime.CardStatName,Spoilage,变质
AppleweedFresh_SpoilageTime.OnFull.ActionDescription,Appleweed Spoiled!,柰草变质了！
BillberriesFermenting_SpoilageTime.CardStatName,Spoilage,变质
BillberriesFermenting_SpoilageTime.OnFull.ActionDescription,Billberries Spoiled!,越橘变质了！
BillberriesFresh_SpoilageTime.CardStatName,Spoilage,变质
BillberriesFresh_SpoilageTime.OnFull.ActionDescription,Billberries Spoiled!,越橘变质了！
BirdMeatRaw_SpoilageTime.CardStatName,Spoilage,变质
BirdMeatRaw_SpoilageTime.OnFull.ActionDescription,Bird Meat Spoiled!,鸟肉变质了！
BugsRaw_SpoilageTime.CardStatName,Spoilage,变质
BugsRaw_SpoilageTime.OnFull.ActionDescription,Bugs Spoiled!,虫子变质了！
EggBirdRaw_SpoilageTime.CardStatName,Spoilage,变质
EggBirdRaw_SpoilageTime.OnFull.ActionDescription,Egg Spoiled!,蛋变质了！
EggChickenRaw_SpoilageTime.CardStatName,Spoilage,变质
EggChickenRaw_SpoilageTime.OnFull.ActionDescription,Egg Spoiled!,蛋变质了！
EggPartridgeRaw_SpoilageTime.CardStatName,Spoilage,变质
EggPartridgeRaw_SpoilageTime.OnFull.ActionDescription,Egg Spoiled!,蛋变质了！
FairyweedFresh_SpoilageTime.CardStatName,Spoilage,变质
FairyweedFresh_SpoilageTime.OnFull.ActionDescription,Fairyweed Spoiled!,仙灵草变质了！
FirerootCutFresh_SpoilageTime.CardStatName,Spoilage,变质
FirerootCutFresh_SpoilageTime.OnFull.ActionDescription,Fireroot Spoiled!,火根变质了！
FishMeatRaw_SpoilageTime.CardStatName,Spoilage,变质
FishMeatRaw_SpoilageTime.OnFull.ActionDescription,Fish Meat Spoiled!,鱼肉变质了！
ForestCapsFresh_SpoilageTime.CardStatName,Spoilage,变质
ForestCapsFresh_SpoilageTime.OnFull.ActionDescription,Forest Caps Spoiled!,森伞菇变质了！
FrogRaw_SpoilageTime.CardStatName,Spoilage,变质
FrogRaw_SpoilageTime.OnFull.ActionDescription,Frog Spoiled!,青蛙变质了！
FrostleafFresh_SpoilageTime.CardStatName,Spoilage,变质
FrostleafFresh_SpoilageTime.OnFull.ActionDescription,Frostleaf Spoiled!,霜叶变质了！
HealersMoss_SpoilageTime.CardStatName,Spoilage,变质
HealersMoss_SpoilageTime.OnFull.ActionDescription,Moss spoiled!,地衣变质了！
MeatRaw_SpoilageTime.CardStatName,Spoilage,变质
MeatRaw_SpoilageTime.OnFull.ActionDescription,Meat Spoiled!,肉变质了！
MinnowRaw_SpoilageTime.CardStatName,Spoilage,变质
MinnowRaw_SpoilageTime.OnFull.ActionDescription,Minnow Spoiled!,鲦鱼变质了！
MouseRaw_SpoilageTime.CardStatName,Spoilage,变质
MouseRaw_SpoilageTime.OnFull.ActionDescription,Mouse Spoiled!,老鼠变质了！
PeasFresh_SpoilageTime.CardStatName,Spoilage,变质
PeasFresh_SpoilageTime.OnFull.ActionDescription,Peas Spoiled!,豌豆变质了！
PineNutsRaw_SpoilageTime.CardStatName,Spoilage,变质
PineNutsRaw_SpoilageTime.OnFull.ActionDescription,Nuts Spoiled!,松子变质了！
RyeDoughRaw_SpoilageTime.CardStatName,Spoilage,变质
RyeDoughRaw_SpoilageTime.OnFull.ActionDescription,Dough Spoiled!,面团变质了！
SpringberriesFermenting_SpoilageTime.CardStatName,Spoilage,变质
SpringberriesFermenting_SpoilageTime.OnFull.ActionDescription,Springberries Spoiled!,春莓变质了！
SpringberriesFresh_SpoilageTime.CardStatName,Spoilage,变质
SpringberriesFresh_SpoilageTime.OnFull.ActionDescription,Springberries Spoiled!,春莓变质了！
SquirrelRaw_SpoilageTime.CardStatName,Spoilage,变质
SquirrelRaw_SpoilageTime.OnFull.ActionDescription,Squirrel Spoiled!,松鼠变质了！
TurnrootFresh_SpoilageTime.CardStatName,Spoilage,变质
TurnrootFresh_SpoilageTime.OnFull.ActionDescription,Turnroot Spoiled!,翻根变质了！
WildGarlicFresh_SpoilageTime.CardStatName,Spoilage,变质
WildGarlicFresh_SpoilageTime.OnFull.ActionDescription,Garlic Spoiled!,蒜变质了！
WolfsbaneFresh_SpoilageTime.CardStatName,Spoilage,变质
WolfsbaneFresh_SpoilageTime.OnFull.ActionDescription,Wolfsbane Spoiled!,乌头变质了！
FishScraps_SpoilageTime.CardStatName,Spoilage,变质
FishScraps_SpoilageTime.OnFull.ActionDescription,Fish Scraps Spoiled!,鱼杂变质了！
FishScrapsCooked_SpoilageTime.CardStatName,Spoilage,变质
FishScrapsCooked_SpoilageTime.OnFull.ActionDescription,Fish Scraps Spoiled!,鱼杂变质了！
AcornFlatbread__SpoilageTime.CardStatName,Spoilage,变质
AcornFlatbread__SpoilageTime.OnFull.ActionDescription,Flatbread Spoiled!,面饼变质了！
AcornsRoasted_SpoilageTime.CardStatName,Spoilage,变质
AcornsRoasted_SpoilageTime.OnFull.ActionDescription,Acorns Spoiled!,橡子变质了！
AppleweedDried__SpoilageTime.CardStatName,Spoilage,变质
AppleweedDried__SpoilageTime.OnFull.ActionDescription,Appleweed Spoiled,柰草变质了！
BillberriesDried_SpoilageTime.CardStatName,Spoilage,变质
BillberriesDried_SpoilageTime.OnFull.ActionDescription,Billberries Spoiled!,越橘变质了！
BillberriesFermented_SpoilageTime.CardStatName,Spoilage,变质
BillberriesFermented_SpoilageTime.OnFull.ActionDescription,Billberries Spoiled!,越橘变质了！
BillberriesRoasted_SpoilageTime.CardStatName,Spoilage,变质
BillberriesRoasted_SpoilageTime.OnFull.ActionDescription,Billberries Spoiled!,越橘变质了！
BirdMeatCooked_SpoilageTime.CardStatName,Spoilage,变质
BirdMeatCooked_SpoilageTime.OnFull.ActionDescription,Bird Meat Spoiled!,鸟肉变质了！
BirdMeatDried_SpoilageTime.CardStatName,Spoilage,变质
BirdMeatDried_SpoilageTime.OnFull.ActionDescription,Bird Meat Spoiled!,鸟肉变质了！
BugsCooked_SpoilageTime.CardStatName,Spoilage,变质
BugsCooked_SpoilageTime.OnFull.ActionDescription,Bugs Spoiled!,虫子变质了！
EggBirdBoiled_SpoilageTime.CardStatName,Spoilage,变质
EggBirdBoiled_SpoilageTime.OnFull.ActionDescription,Egg Spoiled!,蛋变质了！
EggBirdCooked_SpoilageTime.CardStatName,Spoilage,变质
EggBirdCooked_SpoilageTime.OnFull.ActionDescription,Egg Spoiled!,蛋变质了！
EggChickenCooked_SpoilageTime.CardStatName,Spoilage,变质
EggChickenCooked_SpoilageTime.OnFull.ActionDescription,Egg Spoiled!,蛋变质了！
EggPartridgeBoiled_SpoilageTime.CardStatName,Spoilage,变质
EggPartridgeBoiled_SpoilageTime.OnFull.ActionDescription,Egg Spoiled!,蛋变质了！
EggPartridgeCooked_SpoilageTime.CardStatName,Spoilage,变质
EggPartridgeCooked_SpoilageTime.OnFull.ActionDescription,Egg Spoiled!,蛋变质了！
FairyweedDried_SpoilageTime.CardStatName,Spoilage,变质
FairyweedDried_SpoilageTime.OnFull.ActionDescription,Fairyweed Spoiled!,仙灵草变质了！
FirerootDried_SpoilageTime.CardStatName,Spoilage,变质
FirerootDried_SpoilageTime.OnFull.ActionDescription,Fireroot Spoiled!,火根变质了！
FirerootRoasted_SpoilageTime.CardStatName,Spoilage,变质
FirerootRoasted_SpoilageTime.OnFull.ActionDescription,Fireroot Spoiled!,火根变质了！
FishMeatCooked_SpoilageTime.CardStatName,Spoilage,变质
FishMeatCooked_SpoilageTime.OnFull.ActionDescription,Fish Meat Spoiled!,鱼肉变质了！
FishMeatDried_SpoilageTime.CardStatName,Spoilage,变质
FishMeatDried_SpoilageTime.OnFull.ActionDescription,Fish Meat Spoiled!,鱼肉变质了！
ForestCapsBoiled_SpoilageTime.CardStatName,Spoilage,变质
ForestCapsBoiled_SpoilageTime.OnFull.ActionDescription,Forest Caps Spoiled!,森伞菇变质了！
ForestCapsCooked_SpoilageTime.CardStatName,Spoilage,变质
ForestCapsCooked_SpoilageTime.OnFull.ActionDescription,Forest Caps Spoiled!,森伞菇变质了！
ForestCapsDried_SpoilageTime.CardStatName,Spoilage,变质
ForestCapsDried_SpoilageTime.OnFull.ActionDescription,Forest Caps Spoiled!,森伞菇变质了！
FrogBoiled_SpoilageTime.CardStatName,Spoilage,变质
FrogBoiled_SpoilageTime.OnFull.ActionDescription,Frog Spoiled!,青蛙变质了！
FrogCooked_SpoilageTime.CardStatName,Spoilage,变质
FrogCooked_SpoilageTime.OnFull.ActionDescription,Frog Spoiled!,青蛙变质了！
FrostleafDried_SpoilageTime.CardStatName,Spoilage,变质
FrostleafDried_SpoilageTime.OnFull.ActionDescription,Frostleaf Spoiled!,霜叶变质了！
MeatCooked_SpoilageTime.CardStatName,Spoilage,变质
MeatCooked_SpoilageTime.OnFull.ActionDescription,Meat Spoiled!,肉变质了！
MeatDried_SpoilageTime.CardStatName,Spoilage,变质
MeatDried_SpoilageTime.OnFull.ActionDescription,Meat Spoiled!,肉变质了！
MinnowCooked_SpoilageTime.CardStatName,Spoilage,变质
MinnowCooked_SpoilageTime.OnFull.ActionDescription,Minnow Spoiled!,鲦鱼变质了！
MouseCooked_SpoilageTime.CardStatName,Spoilage,变质
MouseCooked_SpoilageTime.OnFull.ActionDescription,Mouse Spoiled!,老鼠变质了！
NettleLeavesDried_SpoilageTime.CardStatName,Spoilage,变质
NettleLeavesDried_SpoilageTime.OnFull.ActionDescription,Nettle Leaves Spoiled!,荨麻叶变质了！
PeasCooked_SpoilageTime.CardStatName,Spoilage,变质
PeasCooked_SpoilageTime.OnFull.ActionDescription,Peas Spoiled!,豌豆变质了！
PeasDried_SpoilageTime.CardStatName,Spoilage,变质
PeasDried_SpoilageTime.OnFull.ActionDescription,Peas Spoiled!,豌豆变质了！
PineNutsRoasted_SpoilageTime.CardStatName,Spoilage,变质
PineNutsRoasted_SpoilageTime.OnFull.ActionDescription,Nuts Spoiled!,松子变质了！
RyeFlatbread__SpoilageTime.CardStatName,Spoilage,变质
RyeFlatbread__SpoilageTime.OnFull.ActionDescription,Flatbread Spoiled!,面饼变质了！
SpiritMushroomsDried_SpoilageTime.CardStatName,Spoilage,变质
SpiritMushroomsDried_SpoilageTime.OnFull.ActionDescription,Spirit Mushroom Spoiled!,灵魂菇变质了！
SpringberriesDried_SpoilageTime.CardStatName,Spoilage,变质
SpringberriesDried_SpoilageTime.OnFull.ActionDescription,Springberries Spoiled!,春莓变质了！
SpringberriesFermented_SpoilageTime.CardStatName,Spoilage,变质
SpringberriesFermented_SpoilageTime.OnFull.ActionDescription,Springberries Spoiled!,春莓变质了！
SpringberriesRoasted_SpoilageTime.CardStatName,Spoilage,变质
SpringberriesRoasted_SpoilageTime.OnFull.ActionDescription,Springberries Spoiled!,春莓变质了！
SquirrelCooked_SpoilageTime.CardStatName,Spoilage,变质
SquirrelCooked_SpoilageTime.OnFull.ActionDescription,Squirrel Spoiled!,松鼠变质了！
TurnrootDried_SpoilageTime.CardStatName,Spoilage,变质
TurnrootDried_SpoilageTime.OnFull.ActionDescription,Turnroot Spoiled!,翻根变质了！
TurnrootRoasted_SpoilageTime.CardStatName,Spoilage,变质
TurnrootRoasted_SpoilageTime.OnFull.ActionDescription,Turnroot Spoiled!,翻根变质了！
WildGarlicCooked_SpoilageTime.CardStatName,Spoilage,变质
WildGarlicCooked_SpoilageTime.OnFull.ActionDescription,Garlic Spoiled!,蒜变质了！
WildGarlicDried_SpoilageTime.CardStatName,Spoilage,变质
WildGarlicDried_SpoilageTime.OnFull.ActionDescription,Garlic Spoiled!,蒜变质了！
WolfsbaneDried_SpoilageTime.CardStatName,Spoilage,变质
WolfsbaneDried_SpoilageTime.OnFull.ActionDescription,Wolfsbane Spoiled!,乌头变质了！
CharcoalPowder_CardName,Charcoal Powder,木炭粉
CharcoalPowder_CardDescription,Can be added to hot water and drunk to help treat diarrhoea.,可以加入热水中饮用，有助于治疗腹泻。
LQ_AppleweedTea_SpoilageTime.CardStatName,Bacteria,细菌
LQ_AppleweedTea_SpoilageTime.OnFull.ActionDescription,Appleweed Tea Spoiled!,柰草茶变质了！
LQ_BirchSap_SpoilageTime.CardStatName,Bacteria,细菌
LQ_BirchSap_SpoilageTime.OnFull.ActionDescription,Birch Sap Spoiled!,白桦树汁变质了！
LQ_BirchSyrup_SpoilageTime.CardStatName,Bacteria,细菌
LQ_BirchSyrup_SpoilageTime.OnFull.ActionDescription,Birch Syrup Spoiled!,白桦糖浆变质了！
LQ_BirchWine_SpoilageTime.CardStatName,Bacteria,细菌
LQ_BirchWine_SpoilageTime.OnFull.ActionDescription,Birch Wine Spoiled!,白桦酒变质了！
LQ_CharcoalTea_CardName,Charcoal Tea,木炭茶
LQ_CharcoalTea_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_CharcoalTea_DismantleActions[0].ActionName,Drink,饮用
LQ_Fairybrew_SpoilageTime.CardStatName,Bacteria,细菌
LQ_Fairybrew_SpoilageTime.OnFull.ActionDescription,Fairybrew Spoiled!,仙酿变质了！
LQ_FairyweedTea_SpoilageTime.CardStatName,Bacteria,细菌
LQ_FairyweedTea_SpoilageTime.OnFull.ActionDescription,Fairyweed Tea Spoiled!,仙灵茶变质了！
LQ_Firebrew_SpoilageTime.CardStatName,Bacteria,细菌
LQ_Firebrew_SpoilageTime.OnFull.ActionDescription,Firebrew Spoiled!,火酿变质了！
LQ_Firewater_SpoilageTime.CardStatName,Bacteria,细菌
LQ_Firewater_SpoilageTime.OnFull.ActionDescription,Firewater Spoiled!,火根水变质了！
LQ_FrostleafTea_SpoilageTime.CardStatName,Bacteria,细菌
LQ_FrostleafTea_SpoilageTime.OnFull.ActionDescription,Frostleaf Tea Spoiled!,霜叶茶变质了！
LQ_Fungicide_SpoilageTime.CardStatName,Bacteria,细菌
LQ_Fungicide_SpoilageTime.OnFull.ActionDescription,Fungicide Spoiled!,除菌剂变质了！
LQ_GarlicWater_SpoilageTime.CardStatName,Bacteria,细菌
LQ_GarlicWater_SpoilageTime.OnFull.ActionDescription,Garlic Water Spoiled!,蒜水变质了！
LQ_Insecticide_SpoilageTime.CardStatName,Bacteria,细菌
LQ_Insecticide_SpoilageTime.OnFull.ActionDescription,Insecticide Spoiled!,杀虫剂变质了！
LQ_Lye_CardName,Lye,碱液
LQ_Lye_CardDescription,Can be used to make soap or as a good disinfectant for cleaning (not wounds).,可用于制作肥皂或作为清洁用的消毒剂（非伤口）。
LQ_OakBarkTea_CardName,Tannin Water,鞣液
LQ_OakBarkTea_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_OakBarkTea_DismantleActions[0].ActionName,Drink,饮用
LQ_Oil_SpoilageTime.CardStatName,Bacteria,细菌
LQ_Oil_SpoilageTime.OnFull.ActionDescription,Oil Spoiled!,油变质了！
LQ_PoridgeDone_SpoilageTime.CardStatName,Bacteria,细菌
LQ_PoridgeDone_SpoilageTime.OnFull.ActionDescription,Porridge Spoiled!,粥变质了！
LQ_PoridgeFresh_SpoilageTime.CardStatName,Bacteria,细菌
LQ_PoridgeFresh_SpoilageTime.OnFull.ActionDescription,Porridge Spoiled!,粥变质了！
LQ_SpiritTea_SpoilageTime.CardStatName,Bacteria,细菌
LQ_SpiritTea_SpoilageTime.OnFull.ActionDescription,Spirit Tea Spoiled,神奇茶变质了！
LQ_StewWater_SpoilageTime.CardStatName,Bacteria,细菌
LQ_StewWater_SpoilageTime.OnFull.ActionDescription,Stew Spoiled!,炖菜变质了！
LQ_WaterRiver_CardName,River Water,河水
LQ_WaterRiver_CardDescription,"Used for drinking, cooking, and cleaning. Crucial for survival.\n\nCan be boiled to make it safer.",用来喝、烹饪和清洁。生命之源。\n\n煮沸以保证安全。
LQ_WaterRiver_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_WaterRiver_CardInteractions[0].ActionName,Purify,净化
LQ_WaterRiver_CardInteractions[1].ActionName,Mix,混合
LQ_WaterRiver_DismantleActions[0].ActionName,Drink,饮用
LQ_WaterRiver_DismantleActions[1].ActionName,Wash Yourself,洗个澡
LQ_WillowBarkTea_SpoilageTime.CardStatName,Bacteria,细菌
LQ_WillowBarkTea_SpoilageTime.OnFull.ActionDescription,Willowbark Tea Spoiled!,柳树皮茶变质了！
IngestedCharcoal_GameName,Ingested Charcoal,木炭摄入
IngestedCharcoal_Statuses[0].GameName,Minor Charcoal Dose,低木炭剂量
IngestedCharcoal_Statuses[1].GameName,Moderate Charcoal Dose,中木炭剂量
IngestedCharcoal_Statuses[2].GameName,High Charcoal Dose,高木炭剂量
IngestedCharcoal_Statuses[3].GameName,Very High Charcoal Dose,极高木炭剂量
Tannins_GameName,Tannins,鞣质
Tannins_Statuses[0].GameName,Minor Tannins Dose,低鞣质剂量
Tannins_Statuses[1].GameName,Moderate Tannins Dose,中鞣质剂量
Tannins_Statuses[2].GameName,High Tannins Dose,高鞣质剂量
Tannins_Statuses[3].GameName,Very High Tannins Dose,极高鞣质剂量
WolfsbaneToxicity_Description,"Causes progressive paralysis, nausea, lowered blood pressure and eventual death if untreated.",会导致渐进麻痹、恶心、血压降低，最终死亡。
WolfsbaneExposure_Description,Tracks your body's contact with wolfsbane. Exposure builds up through skin contact and leads to poisoning over time.\n\nWash with water immediately to reduce absorption.\nGloves are strongly recommended when handling the plant or preparing poison.,追踪您身体与狼毒的接触情况。毒素会通过皮肤接触累积，并随着时间的推移导致中毒。 \n\n立即用水冲洗以减少吸收。 \n强烈建议在处理乌头或配制毒药时佩戴手套。
Bp_HandStone_CardName,Hand Stone,手磨盘
Bp_HandStone_CardDescription,An essential piece for building a Rotary Quern.,石磨的必要组件。
Bp_HandStone_UnlockConditionsDesc,Saddle Quern Needed,需要大石臼
Bp_SaddleQuern_CardDescription,A stone basin for crushing things into powder more efficiently.\n\nCan be upgraded into a Rotary Quern by combining it with a Handstone.,用于更有效地将物体碾碎成粉末的大石臼。\n\n可以将其与手磨盘结合升级为石磨。
Bp_SaddleQuern_UnlockConditionsDesc,Millable Item Needed,需要可研磨的物品
RyeGrains_SpecialDurability3.CardStatName,Mill,研磨
AppleWeedPowder_Progress.CardStatName,Milling Bonus,研磨加成
FairyweedPowder_SpecialDurability3.CardStatName,Mill,研磨
FirerootPowder_SpecialDurability3.CardStatName,Mill,研磨
FrostleafPowder_SpecialDurability3.CardStatName,Mill,研磨
SpiritMushroomsPowder_SpecialDurability3.CardStatName,Mill,研磨
WildGarlicPowder_SpecialDurability3.CardStatName,Mill,研磨
WillowBarkPowder_SpecialDurability3.CardStatName,Mill,研磨
WolfsbanePowder_SpecialDurability3.CardStatName,Mill,研磨
WolfsbanePowder_CardInteractions[0].ActionName,Add,添加
AcornFlourRaw_SpecialDurability3.CardStatName,Mill,研磨
AcornFlourRaw_OnStatsChangeActions[0].ActionName,Add QuernMillingBonus to Quality,为品质添加石磨研磨加成
RyeFlourRaw_SpecialDurability3.CardStatName,Mill,研磨
RyeFlourRaw_OnStatsChangeActions[0].ActionName,Add QuernMillingBonus to Quality,为品质添加石磨研磨加成
AcornDoughRaw_UsageDurability.CardStatName,Drying,干燥中
AcornDoughRaw_UsageDurability.OnFull.ActionDescription,Acorn Dough dried!,橡子面团干了！
AcornsEdibleRaw_SpecialDurability3.CardStatName,Mill,研磨
BillberriesFresh_CardInteractions[0].ActionName,Mash,捣碎
BillberryPulp_CardName,Billberry Pulp,越橘浆
BillberryPulp_CardDescription,Tasty and nutritious berries.\n\nCan be added to water to create must for wine.,营养、美味的浆果。\n\n可以添加到水中制成可发酵成酒的浆果汁。
BillberryPulp_SpoilageTime.CardStatName,Spoilage,变质
BillberryPulp_SpoilageTime.OnFull.ActionDescription,Billberries Spoiled!,越橘变质了！
BillberryPulp_FuelCapacity.CardStatName,Temperature,温度
BillberryPulp_SpecialDurability2.CardStatName,Quality,品质
BillberryPulp_CardInteractions[0].ActionName,Soak,浸泡
BillberryPulp_DismantleActions[0].ActionName,Eat,吃掉
SpringberriesFresh_CardInteractions[0].ActionName,Mash,捣碎
SpringberryPulp_CardName,Springberry Pulp,春莓浆
SpringberryPulp_CardDescription,Tasty and nutritious berries.\n\nCan be added to water to create must for wine.,营养、美味的浆果。\n\n可以添加到水中制成可发酵成酒的浆果汁。
SpringberryPulp_SpoilageTime.CardStatName,Spoilage,变质
SpringberryPulp_SpoilageTime.OnFull.ActionDescription,Springberries Spoiled!,春莓变质了！
SpringberryPulp_FuelCapacity.CardStatName,Temperature,温度
SpringberryPulp_SpecialDurability2.CardStatName,Quality,品质
SpringberryPulp_CardInteractions[0].ActionName,Soak,浸泡
SpringberryPulp_DismantleActions[0].ActionName,Eat,吃掉
WolfsbaneFresh_DismantleActions[0].ActionName,Eat,吃掉
AcornHardtack_CardName,Acorn Hardtack,橡子饼干
AcornHardtack_CardDescription,Good source of calories. Can also be used as a plate.,很好的卡路里来源。也可以把食物放在上面。
AcornHardtack_SpoilageTime.CardStatName,Spoilage,变质
AcornHardtack_SpoilageTime.OnFull.ActionDescription,Flatbread Spoiled!,饼干变质了！
AcornHardtack_FuelCapacity.CardStatName,Temperature,温度
AcornHardtack_SpecialDurability1.CardStatName,Burned,烤焦的
AcornHardtack_SpecialDurability2.CardStatName,Quality,品质
AcornHardtack_DismantleActions[0].ActionName,Eat,吃掉
AcornHardtack_GroupInventoryActions[0].ActionName,Eat All,全部吃掉
FairyweedDried_SpecialDurability3.CardStatName,Mill,研磨
FirerootDried_SpecialDurability3.CardStatName,Mill,研磨
FrostleafDried_SpecialDurability3.CardStatName,Mill,研磨
SpiritMushroomsDried_SpecialDurability3.CardStatName,Mill,研磨
WildGarlicDried_SpecialDurability3.CardStatName,Mill,研磨
WillowBarkDried_SpecialDurability3.CardStatName,Mill,研磨
WolfsbaneDried_SpecialDurability3.CardStatName,Mill,研磨
WolfsbaneDried_DismantleActions[0].ActionName,Eat,吃掉
Charcoal_SpecialDurability3.CardStatName,Mill,研磨
DirtPile_SpecialDurability3.CardStatName,Mill,研磨
Feathers_SpecialDurability3.CardStatName,Mill,研磨
HandStone_CardName,Hand Stone,手磨盘
HandStone_CardDescription,Fit it atop a properly shaped Saddle Quern to build a Rotary Quern.,将其安装到形状合适的石臼上，组成石磨。
RotaryQuern_CardName,Rotary Quern,石磨
RotaryQuern_CardDescription,A rotary tool for milling things into fine powder with great efficiency,一种高效研磨物品成粉的旋转工具。
RotaryQuern_SpecialDurability2.CardStatName,Quality,品质
RotaryQuern_DismantleActions[0].ActionName,Mill,研磨
SaddleQuern_CardDescription,A stone basin for crushing things into powder more efficiently.\n\nCan be upgraded into a Rotary Quern by combining it with a Handstone.,用于更有效地将物体碾碎成粉末的大石臼。\n\n可以将其与手磨盘结合升级为石磨。
SaddleQuern_SpecialDurability2.CardStatName,Quality,品质
SaddleQuern_CardInteractions[0].ActionName,Combine,组合
SaddleQuern_DismantleActions[0].ActionName,Mill,研磨
FishingBait_SpoilageTime.OnFull.ActionDescription,Fishing Bait Spoiled!,鱼饵变质了！
LQ_BillberryMust_CardName,Billberry Must,越橘汁
LQ_BillberryMust_CardDescription,Can be fermented in a Fermenting Bin to produce Wine or concentrated into Syrup.,可以在发酵桶中发酵成酒或进一步浓缩成糖浆。
LQ_BillberryMust_SpoilageTime.CardStatName,Bacteria,细菌
LQ_BillberryMust_SpoilageTime.OnFull.ActionDescription,Birch Sap Spoiled!,越橘汁变质了！
LQ_BillberryMust_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_BillberryMust_SpecialDurability1.CardStatName,Sweetness,甜味
LQ_BillberryMust_SpecialDurability2.CardStatName,Quality,品质
LQ_BillberryMust_SpecialDurability3.CardStatName,Wine,酒
LQ_BillberryMust_CardInteractions[0].ActionName,Add,添加
LQ_BillberryMust_DismantleActions[0].ActionName,Drink,饮用
LQ_BillberrySyrup_CardName,Billberry Syrup,越橘糖浆
LQ_BillberrySyrup_CardDescription,Can be used to sweeten foods.,可用于为食物增甜。
LQ_BillberrySyrup_SpoilageTime.CardStatName,Bacteria,细菌
LQ_BillberrySyrup_SpoilageTime.OnFull.ActionDescription,Billberry Syrup Spoiled!,越橘糖浆变质了！
